modality,algorithm,n,auc_pse_mean,auc_pse_sd,auc_jnd_mean,auc_jnd_sd
Auditory,Adaptive,10,914.0753748289706,666.002508511401,479.19396491189343,187.49504587306365
Auditory,Fixed,10,1646.271398013107,1094.5943734125478,910.2284781154267,434.6198199052156
Visual,Adaptive,10,1265.4205034166037,917.2186141257357,463.8570935476037,279.1759583609009
Visual,Fixed,10,2226.9468584460815,1344.231499458864,1372.6858875392495,719.4935217135895
