modality,algorithm,sc_avg,sc_sd,ss_avg,ss_sd,lat_entropy_avg,lat_entropy_sd
Auditory,Adaptive,496.424,14.169278739583051,49.08524060241419,7.321867172541663,2.274789579990878,0.2483250684035587
Auditory,Fixed,500,0,143.614066163451,0,3.32192809488736,0
Visual,Adaptive,490.044,9.73276020002092,56.8411792517816,14.069882976171069,2.3900020831914,0.2832818227010555
Visual,Fixed,500.025,0.07905694150420949,143.6921669833033,0.24697647785975793,3.321855930049073,2.2820525596465416e-4
