model,pse_true,jnd_true,subject_id,trial_block,stimulus_center,stimulus_spread,bimodality_index,pse_est,jnd_est,asymmetry_index
1model_abs,480,20,1model_abs_G1_S01,40,476.5,81.94418832351688,0.1111111111111111,470.1089363312532,17.6455839053012,-0.6
1model_abs,480,20,1model_abs_G1_S01,60,472.7166666666666,70.34772956930135,0.1111111111111111,469.4636685928046,21.48154769995065,-0.5666666666666667
1model_abs,480,20,1model_abs_G1_S01,80,472.9875,62.01320297928498,0.08,470.2290224033765,19.79779310499894,-0.65
1model_abs,480,20,1model_abs_G1_S01,100,472.5,56.31331991633951,0.06060606060606061,471.5318644155208,19.3514024604012,-0.7171717171717171
1model_abs,480,20,1model_abs_G1_S01,120,472.5416666666667,52.31537311239296,0.04878048780487805,472.3943203076889,20.67083981271519,-0.7310924369747899
1model_abs,480,20,1model_abs_G1_S01,140,472.4285714285714,49.14543182624154,0.04081632653061224,472.4558801341743,19.09620228014969,-0.7410071942446043
1model_abs,480,20,1model_abs_G1_S01,160,474.20625,54.21520737705888,0.03636363636363636,471.4678968640887,18.43439476613595,-0.7468354430379747
1model_abs,480,20,1model_abs_G1_S01,180,474.4388888888889,52.73741702359899,0.03278688524590164,470.7800780718672,19.08331193875854,-0.7627118644067796
1model_abs,480,20,1model_abs_G1_S01,200,474.185,50.4639552056713,0.02777777777777778,470.9928352107555,18.90614296757885,-0.7868020304568528
1model_abs,480,20,1model_abs_G1_S02,40,494.05,75.85708602365371,0.1666666666666667,492.5226150506009,20.69932163359138,-0.15
1model_abs,480,20,1model_abs_G1_S02,60,489.0666666666667,73.11927850361276,0.1666666666666667,485.4804639254867,28.67569310503521,-0.2666666666666667
1model_abs,480,20,1model_abs_G1_S02,80,486.1125,65.642972538955,0.7777777777777778,480.7117529369024,26.65618083704242,-0.275
1model_abs,480,20,1model_abs_G1_S02,100,484.43,66.31398872032959,0.1,481.5873794529682,28.38809407397619,-0.28
1model_abs,480,20,1model_abs_G1_S02,120,483.775,61.85446123765043,0.9655172413793104,481.3839857477095,27.39723119642071,-0.25
1model_abs,480,20,1model_abs_G1_S02,140,481.9571428571429,59.59492684887238,0.9705882352941176,482.2242489131932,26.59143130765456,-0.2714285714285714
1model_abs,480,20,1model_abs_G1_S02,160,483.2875,57.70326978386926,0.9,482.486110381641,28.10373937566146,-0.2625
1model_abs,480,20,1model_abs_G1_S02,180,483.8722222222222,55.67106076026251,0.8936170212765957,482.271995839729,30.24829790177473,-0.2333333333333333
1model_abs,480,20,1model_abs_G1_S02,200,483.08,53.66342888783757,0.8703703703703703,480.7536291314851,29.50772208395808,-0.24
1model_abs,480,20,1model_abs_G1_S03,40,482.225,81.61877464774878,0.1538461538461539,472.697806253605,14.00822331809863,-0.55
1model_abs,480,20,1model_abs_G1_S03,60,481.1,66.93745837222482,0.09090909090909091,475.7044031187143,12.47576933541519,-0.7
1model_abs,480,20,1model_abs_G1_S03,80,481.65,59.91871577395496,0.06896551724137931,478.6296303763217,16.55123475714565,-0.625
1model_abs,480,20,1model_abs_G1_S03,100,482.61,57.5291048079144,0.05405405405405406,478.6763294686767,16.48986211818793,-0.64
1model_abs,480,20,1model_abs_G1_S03,120,481.1166666666667,56.37540588668865,0.04545454545454546,478.8661168777779,16.11154332681909,-0.6134453781512605
1model_abs,480,20,1model_abs_G1_S03,140,476.1857142857143,53.68833149554482,0.04545454545454546,474.6268565986758,23.4560796137849,-0.6690647482014388
1model_abs,480,20,1model_abs_G1_S03,160,475.33125,51.47872398804675,0.04545454545454546,474.9490081212582,23.11102697093638,-0.6226415094339622
1model_abs,480,20,1model_abs_G1_S03,180,476.9166666666667,52.51453502497084,0.04081632653061224,475.5377330223499,22.53535165806004,-0.615819209039548
1model_abs,480,20,1model_abs_G1_S03,200,477.38,50.74786300919478,1.0,476.3843361405335,21.40965104557807,-0.6040609137055838
1model_abs,480,20,1model_abs_G1_S04,40,493.9,82.81690648653812,0.1538461538461539,482.1018822285552,15.46194576469765,-0.45
1model_abs,480,20,1model_abs_G1_S04,60,487.5833333333333,70.6017685488276,0.1052631578947368,480.2525779965804,21.05820549177772,-0.5
1model_abs,480,20,1model_abs_G1_S04,80,478.025,67.9593582591831,0.09523809523809523,476.0743610139067,24.48744794691635,-0.525
1model_abs,480,20,1model_abs_G1_S04,100,476.68,61.67704273066276,0.5,475.0723386198852,21.05397988594566,-0.58
1model_abs,480,20,1model_abs_G1_S04,120,476.3,57.06686137038436,0.05882352941176471,474.8337177250793,20.59811429052472,-0.6166666666666667
1model_abs,480,20,1model_abs_G1_S04,140,477.2071428571429,55.93842232166308,0.04878048780487805,476.2061029350534,18.49677165946895,-0.6285714285714286
1model_abs,480,20,1model_abs_G1_S04,160,476.53125,54.08152663745265,0.04166666666666666,478.2913405984254,19.31514148713803,-0.6375
1model_abs,480,20,1model_abs_G1_S04,180,477.3555555555556,52.59886165035875,0.03703703703703703,478.3575589081564,19.91977298812809,-0.6333333333333333
1model_abs,480,20,1model_abs_G1_S04,200,477.99,50.75440769036715,0.03225806451612903,477.7733924759453,21.76489564329732,-0.64
1model_abs,480,20,1model_abs_G1_S05,40,475.35,73.80973851735284,0.04545454545454546,468.4232755332511,8.657353376904576,-0.75
1model_abs,480,20,1model_abs_G1_S05,60,477.7833333333334,69.12285962127307,0.07407407407407407,473.6179425515796,14.08903945233043,-0.7666666666666667
1model_abs,480,20,1model_abs_G1_S05,80,479.9375,64.91173694910651,0.07142857142857142,477.9066923208189,21.15558794614348,-0.620253164556962
1model_abs,480,20,1model_abs_G1_S05,100,479.19,59.34116530706151,0.06666666666666667,477.6738865987549,20.43959565795817,-0.5757575757575758
1model_abs,480,20,1model_abs_G1_S05,120,479.8083333333333,55.02291883590166,0.05714285714285714,477.8615562836505,21.55678494453774,-0.5294117647058824
1model_abs,480,20,1model_abs_G1_S05,140,480.6071428571428,55.96270396160176,0.05405405405405406,478.2955681674754,20.74301290751874,-0.5217391304347826
1model_abs,480,20,1model_abs_G1_S05,160,478.6875,54.14184928269444,1.0,476.3066159515288,22.04774517772677,-0.5569620253164557
1model_abs,480,20,1model_abs_G1_S05,180,480.6111111111111,51.9194235639214,0.04651162790697674,479.6075120778781,26.994535596686,-0.4576271186440678
1model_abs,480,20,1model_abs_G1_S05,200,480.245,51.29361534343236,0.9387755102040817,477.5653345607105,29.38694645858886,-0.4314720812182741
1model_abs,480,20,1model_abs_G1_S06,40,470.925,81.85700565620513,1.0,471.3845856896014,20.20474255854275,-0.65
1model_abs,480,20,1model_abs_G1_S06,60,474.25,70.49128196687398,0.1176470588235294,475.6940590082851,21.05613447766565,-0.5932203389830508
1model_abs,480,20,1model_abs_G1_S06,80,474.85,62.8118420363549,0.8571428571428571,474.5669477295249,26.59841248254802,-0.5189873417721519
1model_abs,480,20,1model_abs_G1_S06,100,480.84,66.11440387691627,1.0,476.472933004153,28.29863451574196,-0.3939393939393939
1model_abs,480,20,1model_abs_G1_S06,120,477.6,63.43952500873042,0.9285714285714286,474.3229286279901,27.51822980734791,-0.4117647058823529
1model_abs,480,20,1model_abs_G1_S06,140,478.2428571428571,60.76216767371095,0.9117647058823529,475.7495325906712,25.29591500503956,-0.4202898550724637
1model_abs,480,20,1model_abs_G1_S06,160,477.9375,57.47604800044972,0.925,474.9393548330777,23.97969053539476,-0.4177215189873418
1model_abs,480,20,1model_abs_G1_S06,180,477.2333333333333,54.7112724521495,0.8695652173913043,476.4037248592614,22.12867737117078,-0.4606741573033708
1model_abs,480,20,1model_abs_G1_S06,200,476.72,52.16897162106994,0.9375,478.5172648460513,21.45481764763695,-0.5050505050505051
1model_abs,480,20,1model_abs_G1_S07,40,489.25,78.96826894392456,0.1428571428571428,477.3507971422744,11.37501399192193,-0.6
1model_abs,480,20,1model_abs_G1_S07,60,482.1833333333333,68.55107382253193,0.09090909090909091,476.2713263476783,11.90613454706861,-0.6949152542372882
1model_abs,480,20,1model_abs_G1_S07,80,481.0625,64.30947514752394,0.06896551724137931,479.4670735996623,15.48407827368967,-0.6708860759493671
1model_abs,480,20,1model_abs_G1_S07,100,486.12,58.85359462258869,0.0625,484.4569767834545,23.94278881820831,-0.4489795918367347
1model_abs,480,20,1model_abs_G1_S07,120,487.9166666666667,56.48740026668681,0.05882352941176471,484.1691570385932,22.33880524502989,-0.3728813559322034
1model_abs,480,20,1model_abs_G1_S07,140,485.1214285714286,53.89122216586494,0.05128205128205128,482.9331271656049,25.9872444590186,-0.391304347826087
1model_abs,480,20,1model_abs_G1_S07,160,486.9875,54.66831663541507,0.8837209302325582,483.434110937205,25.14903968884627,-0.3417721518987342
1model_abs,480,20,1model_abs_G1_S07,180,486.3555555555556,52.36937423747482,0.88,482.4779105290399,23.77933032570564,-0.3446327683615819
1model_abs,480,20,1model_abs_G1_S07,200,485.485,51.6382588300574,0.9285714285714286,483.0964944776877,23.48298762567621,-0.3299492385786802
1model_abs,480,20,1model_abs_G1_S08,40,481.425,79.86203337631719,0.2,476.2964942666808,24.77253983309153,-0.3846153846153846
1model_abs,480,20,1model_abs_G1_S08,60,478.9,68.41410673245687,0.6428571428571429,477.3278539090393,25.83706662629604,-0.3559322033898305
1model_abs,480,20,1model_abs_G1_S08,80,482.35,64.00373036003448,0.8333333333333334,477.0131676212522,22.06270085449382,-0.3670886075949367
1model_abs,480,20,1model_abs_G1_S08,100,481.35,58.08069817073483,0.09090909090909091,478.0884182095159,22.93722938701033,-0.3939393939393939
1model_abs,480,20,1model_abs_G1_S08,120,480.9666666666666,54.0212818145672,0.8620689655172413,478.3127639337072,25.20667048975366,-0.4067796610169492
1model_abs,480,20,1model_abs_G1_S08,140,482.2857142857143,52.58833190985643,0.9393939393939394,479.6450852312205,23.90808672006292,-0.3623188405797101
1model_abs,480,20,1model_abs_G1_S08,160,482.56875,54.02506615856662,1.0,478.6043269006672,23.46049479603997,-0.379746835443038
1model_abs,480,20,1model_abs_G1_S08,180,481.2722222222222,54.13961689265957,0.9523809523809523,476.3604258533305,23.11683174712054,-0.4044943820224719
1model_abs,480,20,1model_abs_G1_S08,200,480.945,51.97972657681069,0.9782608695652174,478.3671948067928,22.99075811702474,-0.404040404040404
1model_abs,480,20,1model_abs_G1_S09,40,477.725,87.4325418537057,0.2,454.7818708552591,17.50293745018984,-0.55
1model_abs,480,20,1model_abs_G1_S09,60,475.05,72.4751509139512,1.0,469.1989274760386,23.38890776081895,-0.7
1model_abs,480,20,1model_abs_G1_S09,80,479.8125,69.99073041303399,0.9473684210526315,471.8811932603764,20.0341898262045,-0.575
1model_abs,480,20,1model_abs_G1_S09,100,478.61,63.23731414283817,0.08333333333333333,471.9896879504526,17.95578884516786,-0.56
1model_abs,480,20,1model_abs_G1_S09,120,477.3916666666667,58.21043661196465,1.0,472.7573318784969,20.19129117440382,-0.6333333333333333
1model_abs,480,20,1model_abs_G1_S09,140,477.8285714285714,54.53399239493302,0.05405405405405406,474.9371949037244,20.85583124000019,-0.6115107913669064
1model_abs,480,20,1model_abs_G1_S09,160,478.025,51.47255943704373,0.04545454545454546,474.9288753435079,21.64041653708878,-0.6226415094339622
1model_abs,480,20,1model_abs_G1_S09,180,476.0111111111111,51.36524861647317,0.04166666666666666,474.9678910749964,20.06969367760933,-0.6404494382022472
1model_abs,480,20,1model_abs_G1_S09,200,476.02,50.76435363520351,0.03703703703703703,474.8842490774941,20.00206349416056,-0.6262626262626263
1model_abs,480,20,1model_abs_G1_S10,40,476.625,75.4107709481875,0.1,473.5194814377243,17.04744278919746,-0.65
1model_abs,480,20,1model_abs_G1_S10,60,479.55,69.94841551696031,0.05555555555555555,475.1326479174581,14.19930714995123,-0.7
1model_abs,480,20,1model_abs_G1_S10,80,477.2625,61.15650900558337,0.03448275862068965,476.2283014366111,13.50471686077358,-0.75
