model,comparison,r,p_value,n
ABS1,Stimulus Center vs PSE,0.9111712361430241,1.874841690104881e-70,180
ABS1,Stimulus Spread vs JND,0.9381107698615642,6.82299164106143e-84,180
REL1,Stimulus Center vs PSE,-0.2076768228073937,0.005151068994064316,180
REL1,Stimulus Spread vs JND,0.9246986297102514,1.4238090084642825e-76,180
REL2,Stimulus Center vs PSE,0.8833409105161428,1.79367818804873e-60,180
REL2,Stimulus Spread vs JND,0.947243671691489,6.921901590827712e-90,180
