"model","n","mean","sd","se"
"ABS1",180,2.55366666666667,0.266803758987867,0.0198863780583114
"REL1",180,2.62955555555556,0.389483001001998,0.0290303488773695
"REL2",180,2.33883333333333,0.314170496002822,0.0234168861862379
