"model","trial_block","mean_entropy","se_entropy","n"
"ABS1",40,2.64994444444444,0.0240037366766013,180
"ABS1",60,2.7005,0.0206984310167446,180
"ABS1",80,2.69377777777778,0.0210190649109404,180
"ABS1",100,2.67094444444444,0.020581053104229,180
"ABS1",120,2.64188888888889,0.0203394210273407,180
"ABS1",140,2.61488888888889,0.0202725820916086,180
"ABS1",160,2.59061111111111,0.019998473543376,180
"ABS1",180,2.57194444444444,0.0198996703262921,180
"ABS1",200,2.55366666666667,0.0198863780583114,180
"REL1",40,2.40505555555556,0.0203439538191826,180
"REL1",60,2.37833333333333,0.0218158451290905,180
"REL1",80,2.42933333333333,0.024311066059737,180
"REL1",100,2.504,0.0260999606393485,180
"REL1",120,2.55461111111111,0.0280403145848382,180
"REL1",140,2.58211111111111,0.0287798627881301,180
"REL1",160,2.60477777777778,0.0290352271707375,180
"REL1",180,2.62127777777778,0.029097327053969,180
"REL1",200,2.62955555555556,0.0290303488773695,180
"REL2",40,2.68611111111111,0.0157011563956117,180
"REL2",60,2.50366666666667,0.0152624261226174,180
"REL2",80,2.39277777777778,0.0159857275642255,180
"REL2",100,2.32416666666667,0.0165873110807294,180
"REL2",120,2.28822222222222,0.0175996154865232,180
"REL2",140,2.28916666666667,0.0187427411978659,180
"REL2",160,2.30683333333333,0.0206589874301412,180
"REL2",180,2.32377777777778,0.022344316979401,180
"REL2",200,2.33883333333333,0.0234168861862379,180
