model,n,mean,sd,median,min,max
ABS1,180,88.77777777777777,41.27379023541779,80,40,180
REL1,180,81.22222222222223,42.44820117205955,60,40,200
REL2,180,76.55555555555556,41.201537941439916,60,40,200
