model,n,mean_error,sd_error,mean_error_pct,sd_error_pct
ABS1,180,7.336555555555556,6.618520005555279,17.930063619865106,12.130620616837566
REL1,180,7.5936111111111115,6.552893579276896,18.496793813922523,12.721536536367788
REL2,180,7.336944444444445,6.173540412595241,17.99748500090548,11.679106793610632
