model,n,mean,sd,median,min,max
ABS1,180,48.19766666666666,18.460564554941186,47.675,20.06,83.25
REL1,180,59.576388888888886,19.758079593761014,58.144999999999996,28.72,108.27
REL2,180,61.38677777777778,17.806159804670056,60.57,35.8,100.44
