model,pse_group,n,mean,sd,median,min,max
ABS1,PSE_480,60,478.9526666666667,8.505388295457015,478.99,459.28,496.36
ABS1,PSE_500,60,501.3756666666667,7.602233696430361,500.57500000000005,480.14,518.29
ABS1,PSE_520,60,521.8776666666666,7.762877626212333,522.095,503.56,539.81
REL1,PSE_480,60,499.9153333333333,1.5690820663921445,500.12,495.86,503.14
REL1,PSE_500,60,499.9075,1.3418904259492415,500.105,496.84,505.18
REL1,PSE_520,60,499.14433333333335,1.471099400559901,499.28499999999997,495.65,502.62
REL2,PSE_480,60,484.33683333333335,6.3446687861266415,484.69,459.55,502.54
REL2,PSE_500,60,498.9728333333333,6.370202905441644,498.78999999999996,485.9,523.55
REL2,PSE_520,60,515.1318333333334,7.80338616018531,515.625,492.98,541.28
