319	1	0	0
668	1	1	0
361	1	0	0
399	1	0	0
399	1	0	0
637	1	1	0
611	1	1	0
414	1	0	0
590	1	1	0
573	1	1	0
558	1	1	0
548	1	1	0
437	1	0	0
451	1	0	0
455	1	0	0
466	1	0	0
539	1	1	0
486	1	0	0
531	1	1	0
525	1	0	0
542	1	1	0
471	1	0	0
480	1	1	0
536	1	1	0
533	1	1	0
464	1	1	0
530	1	1	0
454	1	1	0
528	1	0	0
415	1	0	0
534	1	1	0
424	1	1	0
533	1	1	0
406	1	0	0
531	1	1	0
531	1	1	0
530	1	1	0
412	1	0	0
418	1	1	0
410	1	0	0
527	1	1	0
527	1	0	0
530	1	1	0
530	1	1	0
395	1	0	0
401	1	0	0
415	1	0	0
421	1	0	0
413	1	0	0
530	1	1	0
416	1	0	0
530	1	1	0
408	1	0	0
527	1	1	0
527	1	1	0
406	1	0	0
426	1	0	0
527	1	1	0
525	1	1	0
439	1	0	0
524	1	1	0
424	1	0	0
524	1	1	0
522	1	1	0
519	1	1	0
433	1	0	0
428	1	0	0
518	1	1	0
457	1	0	0
440	1	0	0
515	1	1	0
513	1	0	0
519	1	0	0
524	1	0	0
527	1	1	0
435	1	0	0
462	1	0	0
460	1	0	0
451	1	0	0
451	1	1	0
525	1	1	0
442	1	1	0
524	1	1	0
434	1	0	0
446	1	0	0
444	1	0	0
524	1	1	0
522	1	1	0
522	1	1	0
448	1	0	0
453	1	0	0
519	1	0	0
461	1	0	0
524	1	1	0
461	1	0	0
471	1	1	0
467	1	0	0
522	1	0	0
525	1	1	0
524	1	0	0
527	1	1	0
469	1	1	0
458	1	0	0
447	1	0	0
527	1	1	0
463	1	1	0
522	1	1	0
458	1	1	0
522	1	1	0
521	1	1	0
444	1	0	0
430	1	1	0
446	1	1	0
519	1	1	0
518	1	1	0
516	1	1	0
516	1	1	0
427	1	0	0
515	1	1	0
417	1	0	0
440	1	0	0
443	1	1	0
415	1	0	0
428	1	0	0
513	1	1	0
513	1	1	0
539	1	1	0
438	1	0	0
512	1	0	0
515	1	1	0
422	1	0	0
512	1	0	0
515	1	1	0
436	1	0	0
515	1	1	0
512	1	1	0
539	1	1	0
447	1	0	0
447	1	0	0
458	1	0	0
449	1	0	0
456	1	0	0
510	1	0	0
468	1	0	0
479	1	0	0
515	1	1	0
515	1	1	0
537	1	1	0
515	1	1	0
487	1	1	0
475	1	0	0
515	1	1	0
509	1	0	0
479	1	0	0
515	1	1	0
468	1	0	0
479	1	1	0
408	1	0	0
515	1	1	0
515	1	1	0
475	1	0	0
474	1	1	0
515	1	1	0
415	1	0	0
515	1	1	0
483	1	0	0
515	1	1	0
461	1	0	0
515	1	0	0
536	1	1	0
507	1	0	0
482	1	1	0
516	1	1	0
428	1	0	0
423	1	0	0
470	1	0	0
516	1	1	0
516	1	1	0
516	1	1	0
475	1	1	0
439	1	0	0
422	1	0	0
516	1	1	0
473	1	1	0
516	1	1	0
516	1	1	0
516	1	1	0
455	1	1	0
516	1	0	0
441	1	0	0
452	1	0	0
507	1	1	0
531	1	1	0
507	1	0	0
516	1	1	0
516	1	0	0
446	1	0	0
433	1	1	0
430	1	0	0
421	1	0	0
