668	1	1	0
637	1	1	0
331	1	0	0
611	1	1	0
371	1	0	0
389	1	0	0
590	1	1	0
410	1	0	0
573	1	1	0
479	1	1	0
386	1	0	0
558	1	1	0
401	1	0	0
548	1	1	0
417	1	0	0
509	1	0	0
563	1	1	0
554	1	1	0
434	1	0	0
425	1	0	0
418	1	0	0
434	1	0	0
448	1	0	0
549	1	1	0
454	1	0	0
545	1	1	0
543	1	1	0
537	1	1	0
445	1	0	0
537	1	1	0
471	1	0	0
533	1	1	0
528	1	1	0
524	1	1	0
519	1	0	0
455	1	0	0
484	1	0	0
465	1	0	0
481	1	1	0
530	1	1	0
479	1	1	0
457	1	0	0
527	1	0	0
536	1	1	0
534	1	1	0
531	1	1	0
460	1	0	0
450	1	0	0
461	1	0	0
530	1	1	0
455	1	0	0
525	1	1	0
525	1	1	0
483	1	1	0
525	1	1	0
452	1	0	0
477	1	1	0
464	1	1	0
525	1	1	0
522	1	1	0
522	1	1	0
518	1	1	0
470	1	0	0
518	1	0	0
460	1	0	0
524	1	1	0
522	1	1	0
477	1	0	0
453	1	0	0
468	1	1	0
522	1	1	0
449	1	0	0
453	1	0	0
453	1	0	0
518	1	1	0
451	1	1	0
518	1	1	0
468	1	0	0
518	1	1	0
516	1	1	0
463	1	0	0
452	1	0	0
461	1	0	0
516	1	1	0
513	1	1	0
513	1	0	0
518	1	1	0
516	1	0	0
462	1	0	0
454	1	0	0
519	1	0	0
464	1	0	0
524	1	0	0
531	1	1	0
527	1	1	0
454	1	0	0
525	1	1	0
458	1	1	0
455	1	0	0
476	1	0	0
527	1	1	0
472	1	0	0
522	1	1	0
518	1	1	0
472	1	0	0
518	1	1	0
518	1	1	0
470	1	1	0
463	1	0	0
455	1	0	0
530	1	1	0
515	1	1	0
468	1	0	0
513	1	0	0
528	1	1	0
475	1	0	0
463	1	0	0
476	1	0	0
518	1	1	0
469	1	0	0
515	1	0	0
519	1	1	0
522	1	1	0
461	1	0	0
519	1	1	0
524	1	1	0
471	1	1	0
454	1	0	0
451	1	0	0
466	1	0	0
519	1	1	0
474	1	0	0
480	1	0	0
513	1	1	0
487	1	1	0
461	1	0	0
513	1	1	0
512	1	1	0
485	1	1	0
512	1	1	0
510	1	1	0
461	1	0	0
472	1	0	0
470	1	1	0
510	1	1	0
509	1	0	0
480	1	0	0
455	1	0	0
510	1	1	0
530	1	1	0
457	1	0	0
510	1	1	0
469	1	0	0
461	1	0	0
482	1	1	0
509	1	1	0
471	1	0	0
531	1	1	0
509	1	1	0
531	1	1	0
507	1	1	0
531	1	1	0
477	1	1	0
507	1	1	0
471	1	0	0
531	1	1	0
507	1	0	0
460	1	0	0
460	1	0	0
480	1	0	0
456	1	0	0
507	1	0	0
473	1	1	0
474	1	1	0
509	1	1	0
509	1	1	0
507	1	1	0
465	1	1	0
530	1	1	0
460	1	1	0
451	1	0	0
506	1	0	0
509	1	1	0
465	1	0	0
507	1	1	0
456	1	1	0
506	1	1	0
530	1	1	0
465	1	0	0
446	1	0	0
506	1	1	0
530	1	1	0
467	1	0	0
504	1	0	0
463	1	0	0
506	1	1	0
443	1	0	0
448	1	0	0
504	1	1	0
459	1	1	0
